Freq.	V(vi)/I(C)
Step Information: Run=1  (Run: 1/100)
1.69824365246174e+002	-2.27102429411537e+005,2.81760722885859e+007
1.73780082874937e+002	-2.27102429411537e+005,2.75347065807479e+007
1.77827941003892e+002	-2.27102429411537e+005,2.69079401388039e+007
1.81970085860998e+002	-2.27102429411537e+005,2.62954406428901e+007
1.86208713666286e+002	-2.27102429411538e+005,2.56968833376666e+007
1.90546071796324e+002	-2.27102429411538e+005,2.51119508601271e+007
1.94984459975804e+002	-2.27102429411538e+005,2.45403330713296e+007
1.99526231496887e+002	-2.27102429411539e+005,2.39817268919563e+007
2.04173794466952e+002	-2.27102429411539e+005,2.34358361416167e+007
2.08929613085403e+002	-2.27102429411539e+005,2.29023713818094e+007
2.13796208950222e+002	-2.27102429411540e+005,2.23810497624575e+007
2.18776162394954e+002	-2.27102429411540e+005,2.18715948719378e+007
2.23872113856833e+002	-2.27102429411540e+005,2.13737365905240e+007
2.29086765276776e+002	-2.27102429411541e+005,2.08872109471654e+007
2.34422881531991e+002	-2.27102429411541e+005,2.04117599795259e+007
2.39883291901948e+002	-2.27102429411542e+005,1.99471315972091e+007
2.45470891568502e+002	-2.27102429411542e+005,1.94930794480966e+007
2.51188643150957e+002	-2.27102429411543e+005,1.90493627877290e+007
2.57039578276885e+002	-2.27102429411543e+005,1.86157463516595e+007
2.63026799189537e+002	-2.27102429411544e+005,1.81920002307142e+007
2.69153480392690e+002	-2.27102429411544e+005,1.77778997490908e+007
2.75422870333816e+002	-2.27102429411545e+005,1.73732253452327e+007
2.81838293126444e+002	-2.27102429411545e+005,1.69777624554144e+007
2.88403150312659e+002	-2.27102429411546e+005,1.65913013999773e+007
2.95120922666637e+002	-2.27102429411547e+005,1.62136372721543e+007
3.01995172040200e+002	-2.27102429411548e+005,1.58445698294258e+007
3.09029543251358e+002	-2.27102429411548e+005,1.54839033873486e+007
3.16227766016837e+002	-2.27102429411549e+005,1.51314467158010e+007
3.23593656929627e+002	-2.27102429411550e+005,1.47870129375906e+007
3.31131121482590e+002	-2.27102429411551e+005,1.44504194293689e+007
3.38844156139201e+002	-2.27102429411552e+005,1.41214877248025e+007
3.46736850452530e+002	-2.27102429411553e+005,1.38000434199479e+007
3.54813389233574e+002	-2.27102429411554e+005,1.34859160807796e+007
3.63078054770100e+002	-2.27102429411555e+005,1.31789391528247e+007
3.71535229097171e+002	-2.27102429411556e+005,1.28789498728524e+007
3.80189396320559e+002	-2.27102429411557e+005,1.25857891825757e+007
3.89045144994279e+002	-2.27102429411558e+005,1.22993016443163e+007
3.98107170553495e+002	-2.27102429411559e+005,1.20193353585892e+007
4.07380277804111e+002	-2.27102429411561e+005,1.17457418835639e+007
4.16869383470333e+002	-2.27102429411562e+005,1.14783761563585e+007
